year,sex,industry1,industry2,employment_status,employed
2013,Male,Services,Financial And Insurance Services,Own Account Workers,8800
2013,Male,Services,Financial And Insurance Services,Contributing Family Workers,0
2013,Male,Services,Real Estate Services,Employers,1100
2013,Male,Services,Real Estate Services,Employees,16100
2013,Male,Services,Real Estate Services,Own Account Workers,7800
2013,Male,Services,Real Estate Services,Contributing Family Workers,0
2013,Male,Services,Professional Services,Employers,9600
2013,Male,Services,Professional Services,Employees,59200
2013,Male,Services,Professional Services,Own Account Workers,6600
2013,Male,Services,Professional Services,Contributing Family Workers,0
2013,Male,Services,Administrative And Support Services,Employers,4500
2013,Male,Services,Administrative And Support Services,Employees,48900
2013,Male,Services,Administrative And Support Services,Own Account Workers,2300
2013,Male,Services,Administrative And Support Services,Contributing Family Workers,0
2013,Male,Services,Public Administration And Education,Employers,2100
2013,Male,Services,Public Administration And Education,Employees,148000
2013,Male,Services,Public Administration And Education,Own Account Workers,5400
2013,Male,Services,Public Administration And Education,Contributing Family Workers,100
2013,Male,Services,Health And Social Services,Employers,2500
2013,Male,Services,Health And Social Services,Employees,19700
2013,Male,Services,Health And Social Services,Own Account Workers,500
2013,Male,Services,Health And Social Services,Contributing Family Workers,100
2013,Male,Services,"Arts, Entertainment And Recreation",Employers,800
2013,Male,Services,"Arts, Entertainment And Recreation",Employees,17300
2013,Male,Services,"Arts, Entertainment And Recreation",Own Account Workers,1800
2013,Male,Services,"Arts, Entertainment And Recreation",Contributing Family Workers,0
2013,Male,Services,"Other Community, Social And Personal Services",Employers,4100
2013,Male,Services,"Other Community, Social And Personal Services",Employees,22400
2013,Male,Services,"Other Community, Social And Personal Services",Own Account Workers,4800
2013,Male,Services,"Other Community, Social And Personal Services",Contributing Family Workers,200
2013,Male,Others,Others,Employers,1200
2013,Male,Others,Others,Employees,16500
2013,Male,Others,Others,Own Account Workers,1300
2013,Male,Others,Others,Contributing Family Workers,100
2013,Female,Manufacturing,Manufacturing,Employers,3300
2013,Female,Manufacturing,Manufacturing,Employees,99400
2013,Female,Manufacturing,Manufacturing,Own Account Workers,1100
2013,Female,Manufacturing,Manufacturing,Contributing Family Workers,500
2013,Female,Construction,Construction,Employers,2200
2013,Female,Construction,Construction,Employees,20800
2013,Female,Construction,Construction,Own Account Workers,600
2013,Female,Construction,Construction,Contributing Family Workers,400
2013,Female,Services,Wholesale And Retail Trade,Employers,10300
2013,Female,Services,Wholesale And Retail Trade,Employees,128300
2013,Female,Services,Wholesale And Retail Trade,Own Account Workers,6300
2013,Female,Services,Wholesale And Retail Trade,Contributing Family Workers,2200
2013,Female,Services,Transportation And Storage,Employers,1000
2013,Female,Services,Transportation And Storage,Employees,45600
2013,Female,Services,Transportation And Storage,Own Account Workers,1000
2013,Female,Services,Transportation And Storage,Contributing Family Workers,300
2013,Female,Services,Accommodation And Food Services,Employers,3600
2013,Female,Services,Accommodation And Food Services,Employees,65300
2013,Female,Services,Accommodation And Food Services,Own Account Workers,3500
2013,Female,Services,Accommodation And Food Services,Contributing Family Workers,2700
2013,Female,Services,Information And Communications,Employers,1100
2013,Female,Services,Information And Communications,Employees,34200
2013,Female,Services,Information And Communications,Own Account Workers,1300
2013,Female,Services,Information And Communications,Contributing Family Workers,100
2013,Female,Services,Financial And Insurance Services,Employers,1300
2013,Female,Services,Financial And Insurance Services,Employees,72400
2013,Female,Services,Financial And Insurance Services,Own Account Workers,5700
2013,Female,Services,Financial And Insurance Services,Contributing Family Workers,0
2013,Female,Services,Real Estate Services,Employers,1100
2013,Female,Services,Real Estate Services,Employees,16400
2013,Female,Services,Real Estate Services,Own Account Workers,6600
2013,Female,Services,Real Estate Services,Contributing Family Workers,100
2013,Female,Services,Professional Services,Employers,3700
2013,Female,Services,Professional Services,Employees,60100
2013,Female,Services,Professional Services,Own Account Workers,3500
2013,Female,Services,Professional Services,Contributing Family Workers,100
2013,Female,Services,Administrative And Support Services,Employers,2200
