year,sex,industry1,industry2,employment_status,employed
2022,female,services,real estate services,contributing family workers,200
2022,female,services,professional services,employers,3000
2022,female,services,professional services,employees,85300
2022,female,services,professional services,own account workers,4800
2022,female,services,professional services,contributing family workers,300
2022,female,services,administrative and support services,employers,1400
2022,female,services,administrative and support services,employees,46400
2022,female,services,administrative and support services,own account workers,2100
2022,female,services,administrative and support services,contributing family workers,0
2022,female,services,public administration and education,employers,2300
2022,female,services,public administration and education,employees,131800
2022,female,services,public administration and education,own account workers,11000
2022,female,services,public administration and education,contributing family workers,0
2022,female,services,health and social services,employers,1700
2022,female,services,health and social services,employees,117500
2022,female,services,health and social services,own account workers,2400
2022,female,services,health and social services,contributing family workers,0
2022,female,services,"arts, entertainment and recreation",employers,400
2022,female,services,"arts, entertainment and recreation",employees,16700
2022,female,services,"arts, entertainment and recreation",own account workers,1600
2022,female,services,"arts, entertainment and recreation",contributing family workers,0
2022,female,services,"other community, social and personal services",employers,2500
2022,female,services,"other community, social and personal services",employees,32600
2022,female,services,"other community, social and personal services",own account workers,4600
2022,female,services,"other community, social and personal services",contributing family workers,100
2022,female,others,others,employers,300
2022,female,others,others,employees,6800
2022,female,others,others,own account workers,100
2022,female,others,others,contributing family workers,0
2023,male,manufacturing,manufacturing,employers,5700
2023,male,manufacturing,manufacturing,employees,120500
2023,male,manufacturing,manufacturing,own account workers,3900
2023,male,manufacturing,manufacturing,contributing family workers,100
2023,male,construction,construction,employers,6700
2023,male,construction,construction,employees,53200
2023,male,construction,construction,own account workers,6000
2023,male,construction,construction,contributing family workers,200
2023,male,services,wholesale and retail trade,employers,14200
2023,male,services,wholesale and retail trade,employees,143200
2023,male,services,wholesale and retail trade,own account workers,11400
2023,male,services,wholesale and retail trade,contributing family workers,900
2023,male,services,transportation and storage,employers,2300
2023,male,services,transportation and storage,employees,96200
2023,male,services,transportation and storage,own account workers,63700
2023,male,services,transportation and storage,contributing family workers,200
2023,male,services,accommodation and food services,employers,4300
2023,male,services,accommodation and food services,employees,50800
2023,male,services,accommodation and food services,own account workers,5900
2023,male,services,accommodation and food services,contributing family workers,900
2023,male,services,information and communications,employers,2400
2023,male,services,information and communications,employees,71800
2023,male,services,information and communications,own account workers,5600
2023,male,services,information and communications,contributing family workers,100
2023,male,services,financial and insurance services,employers,2000
2023,male,services,financial and insurance services,employees,103900
2023,male,services,financial and insurance services,own account workers,11400
2023,male,services,financial and insurance services,contributing family workers,100
2023,male,services,real estate services,employers,600
2023,male,services,real estate services,employees,17800
2023,male,services,real estate services,own account workers,9900
2023,male,services,real estate services,contributing family workers,0
2023,male,services,professional services,employers,7700
2023,male,services,professional services,employees,84300
2023,male,services,professional services,own account workers,8800
2023,male,services,professional services,contributing family workers,200
2023,male,services,administrative and support services,employers,2300
2023,male,services,administrative and support services,employees,65900
2023,male,services,administrative and support services,own account workers,1900
2023,male,services,administrative and support services,contributing family workers,100
2023,male,services,public administration and education,employers,1400
2023,male,services,public administration and education,employees,147000
2023,male,services,public administration and education,own account workers,7400
2023,male,services,public administration and education,contributing family workers,100
2023,male,services,health and social services,employers,1700
2023,male,services,health and social services,employees,34400
2023,male,services,health and social services,own account workers,800
2023,male,services,health and social services,contributing family workers,100
2023,male,services,"arts, entertainment and recreation",employers,500
2023,male,services,"arts, entertainment and recreation",employees,16300
2023,male,services,"arts, entertainment and recreation",own account workers,1300
2023,male,services,"arts, entertainment and recreation",contributing family workers,100
2023,male,services,"other community, social and personal services",employers,2500
2023,male,services,"other community, social and personal services",employees,24900
2023,male,services,"other community, social and personal services",own account workers,3800
2023,male,services,"other community, social and personal services",contributing family workers,0
2023,male,others,others,employers,100
2023,male,others,others,employees,13900
2023,male,others,others,own account workers,500
2023,male,others,others,contributing family workers,100
2023,female,manufacturing,manufacturing,employers,1300
2023,female,manufacturing,manufacturing,employees,78000
2023,female,manufacturing,manufacturing,own account workers,2000
2023,female,manufacturing,manufacturing,contributing family workers,400
2023,female,construction,construction,employers,1400
2023,female,construction,construction,employees,25900
2023,female,construction,construction,own account workers,400
2023,female,construction,construction,contributing family workers,400
2023,female,services,wholesale and retail trade,employers,5000
2023,female,services,wholesale and retail trade,employees,152000
2023,female,services,wholesale and retail trade,own account workers,7500
2023,female,services,wholesale and retail trade,contributing family workers,1600
2023,female,services,transportation and storage,employers,700
2023,female,services,transportation and storage,employees,47700
2023,female,services,transportation and storage,own account workers,3200
2023,female,services,transportation and storage,contributing family workers,200
2023,female,services,accommodation and food services,employers,1800
2023,female,services,accommodation and food services,employees,71000
2023,female,services,accommodation and food services,own account workers,3200
2023,female,services,accommodation and food services,contributing family workers,1600
2023,female,services,information and communications,employers,800
2023,female,services,information and communications,employees,52300
2023,female,services,information and communications,own account workers,2900
2023,female,services,information and communications,contributing family workers,100
2023,female,services,financial and insurance services,employers,500
2023,female,services,financial and insurance services,employees,109700
2023,female,services,financial and insurance services,own account workers,8500
2023,female,services,financial and insurance services,contributing family workers,100
2023,female,services,real estate services,employers,300
2023,female,services,real estate services,employees,19200
2023,female,services,real estate services,own account workers,9400
2023,female,services,real estate services,contributing family workers,0
2023,female,services,professional services,employers,1900
2023,female,services,professional services,employees,91000
2023,female,services,professional services,own account workers,5800
2023,female,services,professional services,contributing family workers,0
2023,female,services,administrative and support services,employers,1400
2023,female,services,administrative and support services,employees,51200
2023,female,services,administrative and support services,own account workers,2000
2023,female,services,administrative and support services,contributing family workers,400
2023,female,services,public administration and education,employers,1500
2023,female,services,public administration and education,employees,138300
2023,female,services,public administration and education,own account workers,9900
2023,female,services,public administration and education,contributing family workers,0
2023,female,services,health and social services,employers,1300
2023,female,services,health and social services,employees,127400
2023,female,services,health and social services,own account workers,2500
2023,female,services,health and social services,contributing family workers,100
2023,female,services,"arts, entertainment and recreation",employers,0
2023,female,services,"arts, entertainment and recreation",employees,16700
2023,female,services,"arts, entertainment and recreation",own account workers,700
2023,female,services,"arts, entertainment and recreation",contributing family workers,0
2023,female,services,"other community, social and personal services",employers,1600
2023,female,services,"other community, social and personal services",employees,33600
2023,female,services,"other community, social and personal services",own account workers,4500
2023,female,services,"other community, social and personal services",contributing family workers,400
2023,female,others,others,employers,0
2023,female,others,others,employees,6600
2023,female,others,others,own account workers,100
2023,female,others,others,contributing family workers,0
2024,male,manufacturing,manufacturing,employers,5600
2024,male,manufacturing,manufacturing,employees,123700
2024,male,manufacturing,manufacturing,own account workers,2800
2024,male,manufacturing,manufacturing,contributing family workers,100
2024,male,construction,construction,employers,8600
2024,male,construction,construction,employees,58700
2024,male,construction,construction,own account workers,5300
2024,male,construction,construction,contributing family workers,100
2024,male,services,wholesale and retail trade,employers,14100
2024,male,services,wholesale and retail trade,employees,138200
2024,male,services,wholesale and retail trade,own account workers,9600
2024,male,services,wholesale and retail trade,contributing family workers,600
2024,male,services,transportation and storage,employers,2500
2024,male,services,transportation and storage,employees,89500
2024,male,services,transportation and storage,own account workers,59700
2024,male,services,transportation and storage,contributing family workers,0
2024,male,services,accommodation and food services,employers,4900
2024,male,services,accommodation and food services,employees,53500
2024,male,services,accommodation and food services,own account workers,3800
2024,male,services,accommodation and food services,contributing family workers,500
2024,male,services,information and communications,employers,2400
2024,male,services,information and communications,employees,70900
2024,male,services,information and communications,own account workers,6100
2024,male,services,information and communications,contributing family workers,100
2024,male,services,financial and insurance services,employers,2400
2024,male,services,financial and insurance services,employees,98900
2024,male,services,financial and insurance services,own account workers,11700
2024,male,services,financial and insurance services,contributing family workers,0
2024,male,services,real estate services,employers,500
2024,male,services,real estate services,employees,18100
