employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,Key
87.5,71.9,2520.0,2600.0,2893.0,2700.0,2500.0,3025.0,295
85.5,72.6,3097.0,3000.0,3405.0,3250.0,2900.0,3750.0,296
83.0,77.4,3334.0,3100.0,3452.0,3300.0,3000.0,3550.0,297
91.7,91.7,3180.0,3025.0,3354.0,3225.0,3050.0,3500.0,298
90.5,83.3,3069.0,3050.0,3266.0,3200.0,3000.0,3500.0,299
100.0,100.0,3211.0,3050.0,3266.0,3141.0,2900.0,3500.0,300
100.0,94.7,3166.0,3125.0,3469.0,3350.0,3238.0,3575.0,301
89.2,81.1,2683.0,2700.0,2876.0,2700.0,2475.0,3050.0,302
87.5,79.2,2759.0,2800.0,2970.0,2950.0,2800.0,3200.0,303
100.0,90.0,3044.0,3100.0,3339.0,3250.0,3000.0,3488.0,304
92.6,81.5,2482.0,2300.0,2586.0,2400.0,2000.0,2800.0,305
100.0,100.0,3322.0,3300.0,3486.0,3488.0,3313.0,3650.0,306
100.0,100.0,3126.0,3120.0,3149.0,3125.0,3000.0,3225.0,307
100.0,98.3,3234.0,3200.0,3310.0,3222.0,3200.0,3500.0,308
,,,,,,,,309
81.6,73.7,2766.0,3000.0,2840.0,3000.0,2614.0,3293.0,310
83.3,70.8,3128.0,3000.0,3185.0,3000.0,2882.0,3300.0,311
72.2,61.1,3160.0,3000.0,3685.0,3250.0,2960.0,4200.0,312
96.4,94.5,3202.0,3000.0,3404.0,3100.0,2975.0,3875.0,313
95.6,86.7,3247.0,3250.0,3391.0,3300.0,3152.0,3400.0,314
98.3,96.7,3304.0,3400.0,3624.0,3615.0,3400.0,3838.0,315
89.9,82.6,2515.0,2500.0,2607.0,2548.0,2338.0,2850.0,316
100.0,96.4,2772.0,2700.0,2807.0,2700.0,2608.0,3000.0,317
97.3,95.1,3027.0,2900.0,3063.0,2900.0,2900.0,3100.0,318
97.4,96.6,3836.0,3500.0,3893.0,3500.0,3100.0,4250.0,319
89.6,77.1,3348.0,3200.0,3444.0,3300.0,3000.0,3800.0,320
94.4,94.4,4232.0,4000.0,4407.0,4600.0,3800.0,5000.0,321
82.4,77.9,3761.0,3625.0,3840.0,3675.0,3350.0,4435.0,322
,,,,,,,,323
77.8,63.9,3151.0,3200.0,3317.0,3237.0,3000.0,3510.0,324
,,,,,,,,325
80.6,72.6,3336.0,3225.0,3476.0,3400.0,3200.0,3800.0,326
92.4,91.6,3407.0,3250.0,3505.0,3300.0,3200.0,3800.0,327
83.3,75.9,3792.0,3500.0,3833.0,3500.0,3300.0,4420.0,328
94.6,91.4,3784.0,3500.0,3848.0,3500.0,3300.0,4333.0,329
